"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06025";"PORTO GRANDE";30001996271;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"HYUNDAI HB20";"45000,00";"18/09/2024";"10:02:41"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06025";"PORTO GRANDE";30001996272;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO ";"20000,00";"18/09/2024";"10:02:41"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06033";"CALÇOENE";30002002475;1;12;"Casa";"CASA";"50000,00";"18/09/2024";"11:39:29"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06033";"CALÇOENE";30002002477;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMOVEL";"36000,00";"18/09/2024";"11:39:29"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06033";"CALÇOENE";30002002478;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMOVEL";"50000,00";"18/09/2024";"11:39:29"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06033";"CALÇOENE";30002002478;2;12;"Casa";"CASA";"150000,00";"18/09/2024";"11:39:29"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06033";"CALÇOENE";30002002479;3;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO";"12000,00";"18/09/2024";"11:39:29"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06033";"CALÇOENE";30002002479;4;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO";"9650,00";"18/09/2024";"11:39:29"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06033";"CALÇOENE";30002002479;5;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMOVEL";"87000,00";"18/09/2024";"11:39:29"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06033";"CALÇOENE";30002002479;6;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMOVEL";"38490,00";"18/09/2024";"11:39:29"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06033";"CALÇOENE";30002002480;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"AUTOMOVEL";"15000,00";"18/09/2024";"11:39:29"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06033";"CALÇOENE";30002002480;2;12;"Casa";"CASA RESIDENCIAL";"120000,00";"18/09/2024";"11:39:29"
