"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03115";"NORMANDIA";230001904257;1;12;"Casa";"Casa";"100000,00";"16/09/2024";"17:36:42"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03158";"SÃO LUIZ";230001916944;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO";"15000,00";"16/09/2024";"17:11:09"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03158";"SÃO LUIZ";230001916944;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"JEEP - CAMIONETA";"120000,00";"16/09/2024";"17:11:09"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03158";"SÃO LUIZ";230001916946;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"FORD KÁ 2018 ";"35000,00";"16/09/2024";"17:11:09"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03158";"SÃO LUIZ";230001916946;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO HONDA BROS NXR150 ES ";"6000,00";"16/09/2024";"17:11:09"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03158";"SÃO LUIZ";230001916947;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"HONDA BIZ";"6000,00";"16/09/2024";"17:11:09"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03158";"SÃO LUIZ";230001916948;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"HONDA BIZ MODELO 2023";"16000,00";"16/09/2024";"17:11:09"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03158";"SÃO LUIZ";230001916949;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO CG HONDA";"6000,00";"16/09/2024";"17:11:09"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03018";"BOA VISTA";230001924373;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Carro, Marca Chevrolet, Onix 1.4 LTZ, Ano: 2014/2014";"35000,00";"19/09/2024";"16:06:29"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03018";"BOA VISTA";230001924374;1;12;"Casa";"casa no bairro alvorada";"120000,00";"19/09/2024";"16:06:29"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03018";"BOA VISTA";230001924374;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Carro, Chevrolet, Corsa Classic, 2010";"20000,00";"19/09/2024";"16:06:29"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03018";"BOA VISTA";230001924374;3;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"moto, honda titan, 2006";"3000,00";"19/09/2024";"16:06:29"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03158";"SÃO LUIZ";230001916950;1;32;"Quotas ou quinhões de capital";"EMPRESA AUTO ESCOLA JB";"250000,00";"16/09/2024";"17:11:09"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03158";"SÃO LUIZ";230001916950;2;32;"Quotas ou quinhões de capital";"ESCOLA DE TRANSITO";"270000,00";"16/09/2024";"17:11:09"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03158";"SÃO LUIZ";230001916987;1;99;"OUTROS BENS E DIREITOS";"LOTE DE TERRA COM 60HC NA VIC14-A KM25 EM RORAINOPOLIS";"300000,00";"16/09/2024";"17:11:09"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03085";"RORAINÓPOLIS";230002109773;2;12;"Casa";"CASA, LOCALIZADO NO ENDEREÇO: ( RUA DA PAZ BAIRRO NOVAVITÓRIA S/N) ";"100000,00";"16/09/2024";"16:36:22"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03085";"RORAINÓPOLIS";230002109774;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO MODELO BROSS, PLACA:NAN9S11, COR:PRETA, ANO:2012 ";"12000,00";"16/09/2024";"16:36:22"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03085";"RORAINÓPOLIS";230002109774;2;12;"Casa";"LOCALIZADA NO ENDEREÇO RUA TV CAER, S/N BAIRRO: GENTIL CARNEIRO BRITO";"150000,00";"16/09/2024";"16:36:22"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03085";"RORAINÓPOLIS";230002109775;1;12;"Casa";"CASA FINANCIADA LOCALIZADA NA RUA B, - N 649, BAIRRO: MURILOTEIXEIRA - CEP 69318316 - BOA VISTA - RR";"230000,00";"16/09/2024";"16:36:22"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03085";"RORAINÓPOLIS";230002109776;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO MODELO CELTA, ANO 2011/2012, PLACA: OAB3J38, COR: PRATA";"18000,00";"16/09/2024";"16:36:22"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03085";"RORAINÓPOLIS";230002109777;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO, MODELO CROSS FOX, PLACA: JXM1105, COR: VERMELHO, ANO 2007";"20000,00";"16/09/2024";"16:36:22"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03085";"RORAINÓPOLIS";230002109778;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO MODELO BIS, PLACA NAZ5886, COR: PRETA, ANO 2015";"9000,00";"16/09/2024";"16:36:22"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03085";"RORAINÓPOLIS";230002109778;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO MODELO XRL, COR: BRANCA, ANO 2001, PLACA: NAL6145";"4500,00";"16/09/2024";"16:36:22"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03085";"RORAINÓPOLIS";230002109778;3;12;"Casa";"CASA LOCALIZADA NO ENDEREÇO:RUA LUIS PEREIRA DUARTE, N: 1518 - CENTRO";"200000,00";"16/09/2024";"16:36:22"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03026";"IRACEMA";230002110225;1;12;"Casa";"CASA DE ALVENARIA";"150000,00";"16/09/2024";"14:03:25"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03026";"IRACEMA";230002110227;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO FORD KA FLEX, 2009";"17687,00";"16/09/2024";"14:03:25"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03026";"IRACEMA";230002110227;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO HONDA BIZ 125, 2011";"8537,00";"16/09/2024";"14:03:25"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03026";"IRACEMA";230002110230;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO CHEVROLET CLASSIC ANO 2011";"22000,00";"16/09/2024";"14:03:25"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03026";"IRACEMA";230002110230;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO BROS 160 CC 2015";"10000,00";"16/09/2024";"14:03:25"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03034";"CARACARAÍ";230002112923;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CAR/CAMINHÃO C/ PLACA JXO - 9F85 ";"100000,00";"14/09/2024";"10:35:18"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"RR";"03034";"CARACARAÍ";230002112927;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO MARCA CHEVROLET, MODELO PRISMA 1.4, COR PRATA.";"40000,00";"14/09/2024";"10:35:18"
