"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"SG_UF";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SQ_CANDIDATO";"NR_ORDEM_REDE_SOCIAL";"DS_URL"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002075960;1;"https://www.instagram.com/xicolima_01/"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002137075;1;"https://www.instagram.com/fernanda_dantas02/"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002109197;3;"https://www.tiktok.com/@naldoeventos"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002109201;2;"https://www.facebook.com/edineia.coelho.790?locale=pt_BR"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002128765;2;"https://www.facebook.com/share/9K3GPbrVC9DX1wGB/?mibextid=qi2Omg"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002128771;2;"https://www.instagram.com/invites/contact/?igsh=ll4paajztah1&utm_content=e8vg6ws"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230001984846;1;"https://instagram.com/adjalmagoncalves"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002186572;1;"https://www.instagram.com/paulomottabvrr/"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002186577;2;"https://www.facebook.com/edivaldo.paixao.359"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002186580;2;"https://web.facebook.com/Gideanesmoura22"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002127661;1;"https://www.instagram.com/erislanfilhaorr/"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002127648;2;"): https://www.facebook.com/share/U2Q1hXWqH4u7Vv6L/?mibextid=qi2Omg"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002127654;1;"https://www.facebook.com/lucicleideonca/"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002130113;1;"https://kwai-video.com/u/@fabiomacedo472/ChkUmGAH"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230001983782;2;"https://www.tiktok.com/@robertofranco.rr"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002234845;1;"https://www.instagram.com/leandro28_silva/"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002234848;1;"https://www.instagram.com/leandro_do_surumu/"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002256712;1;"https://www.facebook.com/profile.php?id=100013635551968"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002235123;1;"https://www.instagram.com/ednadesousamagalhaes?igsh=dnpzenZkbndoNjQ1"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002064373;1;"https://www.instagram.com/vereadorfabiocosta/"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002140727;2;"https://www.facebook.com/profile.php?id=100014994586434&mibextid=ZbWKwL"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002139990;1;"https://www.instagram.com/elias_da_silva40?igsh=MTByY2JsM28yamZjNA=="
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230001984854;2;"https://www.facebook.com/share/ebgh9oudsrcrDMXi/?mibextid=LQQJ4d"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002120562;1;"https://www.instagram.com/sargentodamosiel/"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002191355;1;"https://www.facebook.com/antonioetelvinoalmeida.almeida?mibextid=LQQJ4d"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002390636;1;"https://www.instagram.com/sandrielycunha?igsh=enZuY2I3bXZ2Mno3&utm_source=qr"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002129158;3;"https://andre.felipe.xtiktok"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230001974948;1;"https://www.instagram.com/reginatrindade38?utm_source=qr&igsh=MTRuZWdmczV1cWsweg"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002011351;2;"https://www.instagram.com/amansacorno43?igsh=ejBjYjhkMXB2aXIh"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002011351;4;"https://youtube.com/@podcornopodcast?si=4nBB5DeluO6xmU0d"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002011354;1;"https://www.facebook.com/raniel.silvasousa"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002128711;2;"https://web.facebook.com/jeiciany.30?locale=pt_BR"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002121198;1;"https://www.instagram.com/charlesbispo_?igsh=OXcycWp2Y2NiNGlu"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230001946945;1;"https://www.instagram.com/carlao_4714"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230001946946;2;"https://www.facebook.com/harllessonbibiano"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230001947173;1;"https://www.facebook.com/profile.php?id=61558058532119&mibextid=ZbWKwL"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002109191;1;"https://www.instagram.com/brunoperes15/"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002052337;1;"https://www.instagram.com/leidi.vivi.9?igsh=aWdkeml5NnNpNmU3"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002121219;2;"https://www.facebook.com/profile.php?id=100000138891806&mibextid=ZbWKwL"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002024201;1;"http://arthur15.com.br/"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002235900;2;"https://www.facebook.com/share/jqj18e7FSr67YpuN/?mibextid=qi2Omg"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230001916949;1;"https://www.instagram.com/helida.carvalho.942?igsh=Mm0zZTUwcmxvMGo="
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002079092;1;"https://www.facebook.com/CatarinaGuerraRR"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230001984863;1;"https://instagram.com/janicecoelho"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002064376;2;"https://www.facebook.com/erlei.cunha.54?mibextid=ZbWKwL"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002011358;1;"https://www.instagram.com/thoonycarvallho/"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002011358;3;"https://www.tiktok.com/@thonny_carvalho?t=80EyG8Kavrh& r=1"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002011362;1;"https://www.instagram.com/izabeldesouzarr/?igsh=b3V5YTZjeG55cHlr"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002023579;1;"https://www.instagram.com/_angelacastro2024/"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230002139785;2;"https://www.instagram.com/elton_lenno/"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230001983766;1;"https://www.instagram.com/konchitafeitos?igsh=MWNnYzVjNWVsdzBuNA=="
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230001983775;1;"https://www.instagram.com/andreacordeiro_pre?igsh=MXJycmhsNWhjN2hoZA=="
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230001924383;1;"https://www.instagram.com/warhmisson_oliveira/"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230001932915;2;"https://www.instagram.com/roni.marcelo.589/?hl=pt-br"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230001939675;2;"https://www.facebook.com/search/top?q=enfermeira%20cristiane%20lima"
"06/10/2024";"16:30:41";2024;"RR";2;"ELEIÇÃO ORDINÁRIA";619;"ELEIÇÕES MUNICIPAIS 2024";230001939668;2;"https://www.facebook.com/search/top?q=davi%20ibernom"
